﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:72OGJT4cL9BQjHTa8h28tz,Young And Menace,Fall Out Boy,Young And Menace,1,1,223800,spotify:user:1299858245,2017-06-20T16:29:48Z
spotify:track:5bcTCxgc7xVfSaMV3RuVke,Feels,"Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",Funk Wav Bounces Vol.1,1,8,223413,spotify:user:1299858245,2017-07-06T09:29:44Z
spotify:track:2KklXplRtxMsBYo474Es0w,Be Mine,Ofenbach,Be Mine,1,1,161322,spotify:user:1299858245,2017-07-06T09:41:27Z
spotify:track:7fBHjuqAIVOdy5xoNxy5YQ,Weak,AJR,The Click,1,3,201159,spotify:user:1299858245,2017-07-09T13:35:31Z
spotify:track:4QeoDcR16IHpmmgFGQDrCp,No Vacancy,OneRepublic,No Vacancy,1,1,223189,spotify:user:1299858245,2017-07-09T16:18:32Z
spotify:track:6tNQw4RAj7oYogHXVzKJg8,Feels Like Summer,Weezer,Feels Like Summer,1,1,195389,spotify:user:1299858245,2017-07-20T05:08:50Z
spotify:track:5lHvtgttFCmjiVKlyup4iO,Battle Cry,The Family Crest,Prelude to War,1,5,279876,spotify:user:1299858245,2017-07-23T13:45:32Z
spotify:track:3Myntj4vJoLNyEOEfovZjS,Born to Live,About A Mile,Trust You All the Way,1,6,174400,spotify:user:1299858245,2017-07-23T13:49:12Z
spotify:track:7kftK4n15rl1wbpfjSq2Tk,Wherever I Go,OneRepublic,Oh My My,1,14,169773,spotify:user:1299858245,2017-07-29T08:32:36Z
spotify:track:4qRaZYiaOsSvWC7VgcxrI0,HandClap,Fitz and The Tantrums,Fitz and The Tantrums (Deluxe),1,2,193253,spotify:user:1299858245,2017-07-30T12:43:48Z
spotify:track:2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,Look What You Made Me Do,1,1,211859,spotify:user:1299858245,2017-09-12T22:48:07Z
spotify:track:2c6ZXnZMrNugI65nITCAKA,Breathe,OIJ,Breathe,1,1,202243,spotify:user:1299858245,2017-09-21T01:08:43Z
spotify:track:7guCv8opv4IrVdgTctlr98,Disowned,Inova,Disowned,1,1,279367,spotify:user:1299858245,2017-09-26T21:11:05Z
spotify:track:0ofbQMrRDsUaVKq2mGLEAb,Havana,"Camila Cabello, Young Thug",Havana,1,1,216896,spotify:user:1299858245,2017-10-03T04:03:42Z
spotify:track:0WqfoaxUvOhkOcUYv0rtLx,Black & White,"Rudy Mancuso, Poo Bear",Black & White,1,1,194427,spotify:user:1299858245,2017-10-18T19:08:16Z
